GenomeA,GenomeB,mash_distance,kmer_mash,algorithm
FQ312032,FQ312032,0.0,24,mash
HQ259103,FQ312032,0.0841884,24,mash
JN126049,FQ312032,0.075468,24,mash
JN593240,FQ312032,0.0810409,24,mash
JX128257,FQ312032,0.0136167,24,mash
KF669653,FQ312032,0.0275428,24,mash
KF669654,FQ312032,0.0259942,24,mash
KJ174317,FQ312032,0.0182719,24,mash
KJ174318,FQ312032,0.0894845,24,mash
KP797973,FQ312032,0.0710312,24,mash
KR296692,FQ312032,0.0870361,24,mash
KX245012,FQ312032,0.08206,24,mash
KX438380,FQ312032,0.0858703,24,mash
KX765865,FQ312032,0.0864486,24,mash
KY787213,FQ312032,0.0841884,24,mash
MG383452,FQ312032,0.0776854,24,mash
MG428992,FQ312032,0.0527752,24,mash
MG748547,FQ312032,0.0555095,24,mash
MH370371,FQ312032,0.0555095,24,mash
MH709120,FQ312032,0.0729786,24,mash
MH709121,FQ312032,0.0847405,24,mash
MH791405,FQ312032,0.0654487,24,mash
MK972690,FQ312032,0.0815469,24,mash
MK972699,FQ312032,0.0632678,24,mash
MN871491,FQ312032,0.0772307,24,mash
MN871495,FQ312032,0.0836445,24,mash
MN871498,FQ312032,0.05722,24,mash
MT074469,FQ312032,0.0626699,24,mash
MT074470,FQ312032,0.0815469,24,mash
MT074471,FQ312032,0.06883,24,mash
MT074472,FQ312032,0.0579818,24,mash
MT074474,FQ312032,0.0750407,24,mash
MT074475,FQ312032,0.0825805,24,mash
MT074477,FQ312032,0.05722,24,mash
MT074478,FQ312032,0.08206,24,mash
MT074479,FQ312032,0.0702817,24,mash
MT074480,FQ312032,0.0763384,24,mash
FQ312032,HQ259103,0.0841884,24,mash
HQ259103,HQ259103,0.0,24,mash
JN126049,HQ259103,0.0199358,24,mash
JN593240,HQ259103,0.0140465,24,mash
JX128257,HQ259103,0.0717971,24,mash
KF669653,HQ259103,0.0577258,24,mash
KF669654,HQ259103,0.0660986,24,mash
KJ174317,HQ259103,0.067437,24,mash
KJ174318,HQ259103,0.0187517,24,mash
KP797973,HQ259103,0.0228023,24,mash
KR296692,HQ259103,0.0211874,24,mash
KX245012,HQ259103,0.0100899,24,mash
KX438380,HQ259103,0.019492,24,mash
KX765865,HQ259103,0.0177447,24,mash
KY787213,HQ259103,0.0144365,24,mash
MG383452,HQ259103,0.013664,24,mash
MG428992,HQ259103,0.0290064,24,mash
MG748547,HQ259103,0.0314789,24,mash
MH370371,HQ259103,0.0218754,24,mash
MH709120,HQ259103,0.0208511,24,mash
MH709121,HQ259103,0.0181536,24,mash
MH791405,HQ259103,0.0204542,24,mash
MK972690,HQ259103,0.0205199,24,mash
MK972699,HQ259103,0.0281726,24,mash
MN871491,HQ259103,0.0151381,24,mash
MN871495,HQ259103,0.0197445,24,mash
MN871498,HQ259103,0.0318977,24,mash
MT074469,HQ259103,0.0221566,24,mash
MT074470,HQ259103,0.0179774,24,mash
MT074471,HQ259103,0.0322162,24,mash
MT074472,HQ259103,0.0269288,24,mash
MT074474,HQ259103,0.0145848,24,mash
MT074475,HQ259103,0.017174,24,mash
MT074477,HQ259103,0.0284474,24,mash
MT074478,HQ259103,0.0136167,24,mash
MT074479,HQ259103,0.0342134,24,mash
MT074480,HQ259103,0.0282638,24,mash
FQ312032,JN126049,0.075468,24,mash
HQ259103,JN126049,0.0199358,24,mash
JN126049,JN126049,0.0,24,mash
JN593240,JN126049,0.0196811,24,mash
JX128257,JN126049,0.0657721,24,mash
KF669653,JN126049,0.0584997,24,mash
KF669654,JN126049,0.0644967,24,mash
KJ174317,JN126049,0.0595611,24,mash
KJ174318,JN126049,0.020918,24,mash
KP797973,JN126049,0.024855,24,mash
KR296692,JN126049,0.0187517,24,mash
KX245012,JN126049,0.0203234,24,mash
KX438380,JN126049,0.017919,24,mash
KX765865,JN126049,0.0188733,24,mash
KY787213,JN126049,0.0192424,24,mash
MG383452,JN126049,0.0203887,24,mash
MG428992,JN126049,0.0300648,24,mash
MG748547,JN126049,0.0325387,24,mash
MH370371,JN126049,0.0298691,24,mash
MH709120,JN126049,0.0176294,24,mash
MH709121,JN126049,0.0193045,24,mash
MH791405,JN126049,0.0224413,24,mash
MK972690,JN126049,0.0171178,24,mash
MK972699,JN126049,0.0295782,24,mash
MN871491,JN126049,0.0198718,24,mash
MN871495,JN126049,0.0201935,24,mash
MN871498,JN126049,0.0363725,24,mash
MT074469,JN126049,0.0276318,24,mash
MT074470,JN126049,0.0230216,24,mash
MT074471,JN126049,0.0307621,24,mash
MT074472,JN126049,0.0295782,24,mash
MT074474,JN126049,0.0225131,24,mash
MT074475,JN126049,0.0221566,24,mash
MT074477,JN126049,0.0282638,24,mash
MT074478,JN126049,0.018036,24,mash
MT074479,JN126049,0.032975,24,mash
MT074480,JN126049,0.0303613,24,mash
FQ312032,JN593240,0.0810409,24,mash
HQ259103,JN593240,0.0140465,24,mash
JN126049,JN593240,0.0196811,24,mash
JN593240,JN593240,0.0,24,mash
JX128257,JN593240,0.0651284,24,mash
KF669653,JN593240,0.0587619,24,mash
KF669654,JN593240,0.0667612,24,mash
KJ174317,JN593240,0.0635708,24,mash
KJ174318,JN593240,0.0177447,24,mash
KP797973,JN593240,0.0263299,24,mash
KR296692,JN593240,0.022585,24,mash
KX245012,JN593240,0.018036,24,mash
KX438380,JN593240,0.0189957,24,mash
KX765865,JN593240,0.0168389,24,mash
KY787213,JN593240,0.0163461,24,mash
MG383452,JN593240,0.0134287,24,mash
MG428992,JN593240,0.0264146,24,mash
MG748547,JN593240,0.0299668,24,mash
MH370371,JN593240,0.0220156,24,mash
MH709120,JN593240,0.020985,24,mash
MH709121,JN593240,0.0185105,24,mash
MH791405,JN593240,0.0229483,24,mash
MK972690,JN593240,0.0201935,24,mash
MK972699,JN593240,0.0228023,24,mash
MN871491,JN593240,0.0157069,24,mash
MN871495,JN593240,0.0193669,24,mash
