GenomeA,GenomeB,mash_distance,kmer_mash,algorithm
CP000917,CP000917,0.0,21,mash
HE956708,CP000917,0.109331,21,mash
KM236244,CP000917,0.0315792,21,mash
KU927497,CP000917,0.0310744,21,mash
KX017521,CP000917,0.0310744,21,mash
LR027389,CP000917,0.0383209,21,mash
MF001363,CP000917,0.0286795,21,mash
MF431737,CP000917,0.0332581,21,mash
MF681663,CP000917,0.0414262,21,mash
MH370366,CP000917,0.0334751,21,mash
MH370367,CP000917,0.0303826,21,mash
MH370369,CP000917,0.0250005,21,mash
MH370375,CP000917,0.0838645,21,mash
MH370376,CP000917,0.0294234,21,mash
MH370379,CP000917,0.0345853,21,mash
MH370380,CP000917,0.0303826,21,mash
MH370386,CP000917,0.0334751,21,mash
MH631454,CP000917,0.0302852,21,mash
MK005300,CP000917,0.0397669,21,mash
MK050846,CP000917,0.0284057,21,mash
MK370036,CP000917,0.0338037,21,mash
MK393882,CP000917,0.0230782,21,mash
MK728825,CP000917,0.0309745,21,mash
MK947459,CP000917,0.0274249,21,mash
MK972707,CP000917,0.0324062,21,mash
MN187969,CP000917,0.0284057,21,mash
MN197465,CP000917,0.0350415,21,mash
MN218191,CP000917,0.0247621,21,mash
MN379739,CP000917,0.0246043,21,mash
MT074449,CP000917,0.0333664,21,mash
MT074450,CP000917,0.0277775,21,mash
MT074457,CP000917,0.0340249,21,mash
MT074458,CP000917,0.0282247,21,mash
MT074459,CP000917,0.028588,21,mash
MT074465,CP000917,0.0321972,21,mash
MT074466,CP000917,0.0311746,21,mash
OL800604,CP000917,0.0706202,21,mash
CP000917,HE956708,0.109331,21,mash
HE956708,HE956708,0.0,21,mash
KM236244,HE956708,0.124491,21,mash
KU927497,HE956708,0.11676,21,mash
KX017521,HE956708,0.11676,21,mash
LR027389,HE956708,0.118834,21,mash
MF001363,HE956708,0.11676,21,mash
MF431737,HE956708,0.117785,21,mash
MF681663,HE956708,0.129604,21,mash
MH370366,HE956708,0.111073,21,mash
MH370367,HE956708,0.106845,21,mash
MH370369,HE956708,0.119909,21,mash
MH370375,HE956708,0.136948,21,mash
MH370376,HE956708,0.102997,21,mash
MH370379,HE956708,0.12214,21,mash
MH370380,HE956708,0.106845,21,mash
MH370386,HE956708,0.112887,21,mash
MH631454,HE956708,0.115759,21,mash
MK005300,HE956708,0.11478,21,mash
MK050846,HE956708,0.119909,21,mash
MK370036,HE956708,0.109331,21,mash
MK393882,HE956708,0.11478,21,mash
MK728825,HE956708,0.118834,21,mash
MK947459,HE956708,0.126974,21,mash
MK972707,HE956708,0.112887,21,mash
MN187969,HE956708,0.11676,21,mash
MN197465,HE956708,0.11478,21,mash
MN218191,HE956708,0.11676,21,mash
MN379739,HE956708,0.11676,21,mash
MT074449,HE956708,0.117785,21,mash
MT074450,HE956708,0.1233,21,mash
MT074457,HE956708,0.111073,21,mash
MT074458,HE956708,0.12214,21,mash
MT074459,HE956708,0.112887,21,mash
MT074465,HE956708,0.119909,21,mash
MT074466,HE956708,0.12101,21,mash
OL800604,HE956708,0.132399,21,mash
CP000917,KM236244,0.0315792,21,mash
HE956708,KM236244,0.124491,21,mash
KM236244,KM236244,0.0,21,mash
KU927497,KM236244,0.0212234,21,mash
KX017521,KM236244,0.0212234,21,mash
LR027389,KM236244,0.0332581,21,mash
MF001363,KM236244,0.0241368,21,mash
MF431737,KM236244,0.0315792,21,mash
MF681663,KM236244,0.0293293,21,mash
MH370366,KM236244,0.0281347,21,mash
MH370367,KM236244,0.030677,21,mash
MH370369,KM236244,0.0251607,21,mash
MH370375,KM236244,0.0737105,21,mash
MH370376,KM236244,0.0296126,21,mash
MH370379,KM236244,0.0284057,21,mash
MH370380,KM236244,0.0305785,21,mash
MH370386,KM236244,0.0279555,21,mash
MH631454,KM236244,0.020747,21,mash
MK005300,KM236244,0.0324062,21,mash
MK050846,KM236244,0.0298988,21,mash
MK370036,KM236244,0.0286795,21,mash
MK393882,KM236244,0.0230043,21,mash
MK728825,KM236244,0.0208145,21,mash
MK947459,KM236244,0.0324062,21,mash
MK972707,KM236244,0.026819,21,mash
MN187969,KM236244,0.0219205,21,mash
MN197465,KM236244,0.0350415,21,mash
MN218191,KM236244,0.0263104,21,mash
MN379739,KM236244,0.0255655,21,mash
MT074449,KM236244,0.0324062,21,mash
MT074450,KM236244,0.0286795,21,mash
MT074457,KM236244,0.0294234,21,mash
MT074458,KM236244,0.0278663,21,mash
MT074459,KM236244,0.0348125,21,mash
MT074465,KM236244,0.0309745,21,mash
MT074466,KM236244,0.0330427,21,mash
OL800604,KM236244,0.0706202,21,mash
CP000917,KU927497,0.0310744,21,mash
HE956708,KU927497,0.11676,21,mash
KM236244,KU927497,0.0212234,21,mash
KU927497,KU927497,0.0,21,mash
KX017521,KU927497,0.0,21,mash
LR027389,KU927497,0.0316813,21,mash
