"AF009630.1 Lactococcus phage bIL170, complete genome","AF011378.1 Lactococcus phage SK1, complete genome","DQ054536.1 Lactococcus phage P008, complete genome","DQ227763.1 Lactococcus phage 712, complete genome","EU221285.1 Lactococcus phage bIBB29, complete genome","FJ848881.1 Lactococcus phage SL4, complete genome","FJ848882.1 Lactococcus phage CB13, complete genome","FJ848883.1 Lactococcus phage CB14, complete genome","FJ848884.1 Lactococcus phage CB19, complete genome","JQ740787.1 Lactococcus phage ASCC191, complete genome","JQ740788.1 Lactococcus phage ASCC273, complete genome","JQ740789.1 Lactococcus phage ASCC281, complete genome","JQ740804.1 Lactococcus phage ASCC465, complete genome","JQ740813.1 Lactococcus phage ASCC532, complete genome","KC182542.1 Lactococcus phage 340, complete genome","KC182544.1 Lactococcus phage 936, complete genome","KC182545.1 Lactococcus phage fd13, complete genome","KC182546.1 Lactococcus phage jm2, complete genome","KC182547.1 Lactococcus phage jm3, complete genome","KC182549.1 Lactococcus lactis phage p272, complete genome","KC182550.1 Lactococcus lactis phage P475, complete genome","KC182551.1 Lactococcus phage P680, complete genome","KC182552.1 Lactococcus phage phi7, complete genome","KC522412.1 Lactococcus phage CaseusJM1, complete genome","KM091442.1 Lactococcus phage phi15, complete genome","KM091444.1 Lactococcus phage phi145, complete genome","KP793102.1 Lactococcus phage 936 group phage PhiA.16, complete genome","KP793104.1 Lactococcus phage 936 group phage PhiB1127, complete genome","KP793105.1 Lactococcus phage 936 group phage Phi19.3, complete genome","KP793108.1 Lactococcus phage 936 group phage Phi5.12, complete genome","KP793118.1 Lactococcus phage 936 group phage PhiF0139, complete genome","KP793120.1 Lactococcus phage 936 group phage PhiL.18, complete genome","KP793121.1 Lactococcus phage 936 group phage Phi109, complete genome","KP793122.1 Lactococcus phage 936 group phage PhiL.6, complete genome","KP793123.1 Lactococcus phage 936 group phage Phi4.2, complete genome","KP793124.1 Lactococcus phage 936 group phage Phi44, complete genome","KP793125.1 Lactococcus phage 936 group phage Phi91127, complete genome","KP793129.1 Lactococcus phage 936 group phage PhiJF1, complete genome","KP793130.1 Lactococcus phage 936 group phage Phi155, complete genome","KP793131.1 Lactococcus phage 936 group phage PhiE1127, complete genome","KP793132.1 Lactococcus phage 936 group phage PhiM1127, complete genome","KP793133.1 Lactococcus phage 936 group phage PhiLj, complete genome","KP793134.1 Lactococcus phage 936 group phage PhiS0139, complete genome","KX346249.1 Lactococcus phage 16W23, complete genome","KX379664.1 Lactococcus phage 10W18, complete genome","KX379665.1 Lactococcus phage i0139, complete genome","KX379666.1 Lactococcus phage 3R16S, complete genome","KX379671.1 Lactococcus phage 13W11L, complete genome","KY554761.1 Lactococcus phage R31, complete genome","MF448554.1 Lactococcus phage 05601, complete genome","MF448555.1 Lactococcus phage 16802, complete genome","MF448556.1 Lactococcus phage 30804, complete genome","MF448557.1 Lactococcus phage 37201, complete genome","MF448558.1 Lactococcus phage 38503, complete genome","MF448559.1 Lactococcus phage 38507, complete genome","MF448560.1 Lactococcus phage 51701, complete genome","MF448561.1 Lactococcus phage 56003, complete genome","MF448562.1 Lactococcus phage 56301, complete genome","MF448563.1 Lactococcus phage 57001, complete genome","MF448564.1 Lactococcus phage 62601, complete genome","MF448565.1 Lactococcus phage 62605, complete genome","MF448566.1 Lactococcus phage 63302, complete genome","MF448567.1 Lactococcus phage 66901, complete genome","MF448568.1 Lactococcus phage 79201, complete genome","MF448569.1 Lactococcus phage 88605, complete genome","MF448570.1 Lactococcus phage 96401, complete genome","MF448571.1 Lactococcus phage 96403, complete genome","MF448572.1 Lactococcus phage 96603, complete genome","MF775669.1 Lactococcus phage LP8511, complete genome","MF775676.1 Lactococcus phage LP9207, complete genome","MF775678.1 Lactococcus phage LP9404, complete genome","MF775682.1 Lactococcus phage LP9609, complete genome","MF775685.1 Lactococcus phage LP9903, complete genome","MF775686.1 Lactococcus phage LP9908, complete genome","MF775693.1 Lactococcus phage LP0209, complete genome","MF775698.1 Lactococcus phage LP0903, complete genome","MF775703.1 Lactococcus phage LP1502a, complete genome","MG253647.1 Lactococcus phage vB_Llc_bIBB5g1, complete genome","MG253652.1 Lactococcus phage vB_Llc_bIBBF12, complete genome","MG779474.1 Lactococcus phage MP1, complete genome","MK301438.1 Lactococcus phage 8V08, complete genome","MK301440.1 Lactococcus phage MV10L, complete genome","MN552148.1 Lactococcus phage P1532, complete genome","MN552149.1 Lactococcus phage P656, complete genome","MN552150.1 Lactococcus phage P4565, complete genome","MN689514.1 Lactococcus phage CHPC129, complete genome","MN689517.1 Lactococcus phage CHPC361, complete genome","MN689518.1 Lactococcus phage CHPC362, complete genome","MN689519.1 Lactococcus phage CHPC52, complete genome","MN689520.1 Lactococcus phage CHPC781, complete genome","MN689522.1 Lactococcus phage CHPC958, complete genome","MN689523.1 Lactococcus phage CHPC959, complete genome","MN689524.1 Lactococcus phage CHPC964, complete genome","MN689525.1 Lactococcus phage CHPC965, complete genome"
1.0,0.144,0.266,0.104,0.204,0.132,0.124,0.136,0.146,0.126,0.138,0.12,0.132,0.138,0.198,0.168,0.148,0.146,0.13,0.264,0.216,0.24,0.166,0.134,0.168,0.146,0.094,0.112,0.17,0.174,0.134,0.14,0.144,0.136,0.092,0.162,0.144,0.138,0.138,0.142,0.12,0.104,0.136,0.142,0.166,0.124,0.202,0.166,0.12,0.126,0.114,0.122,0.168,0.132,0.098,0.14,0.196,0.076,0.144,0.118,0.128,0.11,0.148,0.148,0.114,0.162,0.154,0.132,0.124,0.126,0.122,0.124,0.13,0.112,0.11,0.108,0.204,0.2,0.226,0.15,0.142,0.134,0.12,0.118,0.126,0.128,0.132,0.17,0.124,0.156,0.156,0.126,0.11,0.134
0.144,1.0,0.154,0.224,0.152,0.16,0.132,0.176,0.124,0.138,0.146,0.13,0.134,0.142,0.136,0.352,0.17,0.148,0.226,0.108,0.13,0.1,0.148,0.21,0.138,0.116,0.12,0.116,0.138,0.154,0.132,0.102,0.112,0.12,0.132,0.134,0.11,0.136,0.118,0.104,0.104,0.128,0.134,0.104,0.098,0.12,0.126,0.138,0.11,0.138,0.118,0.116,0.168,0.134,0.1,0.162,0.118,0.096,0.244,0.132,0.11,0.152,0.15,0.136,0.202,0.152,0.276,0.288,0.14,0.146,0.144,0.15,0.154,0.144,0.138,0.142,0.096,0.154,0.138,0.11,0.104,0.094,0.1,0.138,0.12,0.134,0.182,0.16,0.252,0.23,0.176,0.202,0.174,0.122
0.266,0.154,1.0,0.132,0.238,0.136,0.108,0.158,0.134,0.108,0.108,0.108,0.11,0.12,0.226,0.164,0.138,0.146,0.112,0.186,0.198,0.216,0.132,0.126,0.114,0.14,0.106,0.118,0.128,0.16,0.132,0.156,0.136,0.156,0.092,0.12,0.142,0.128,0.14,0.134,0.13,0.096,0.11,0.13,0.182,0.096,0.178,0.124,0.112,0.138,0.12,0.122,0.122,0.128,0.126,0.124,0.218,0.09,0.14,0.136,0.112,0.12,0.118,0.14,0.14,0.118,0.136,0.112,0.14,0.156,0.144,0.122,0.124,0.136,0.126,0.138,0.198,0.23,0.24,0.142,0.134,0.134,0.104,0.118,0.12,0.122,0.122,0.152,0.138,0.152,0.152,0.124,0.098,0.102
0.104,0.224,0.132,1.0,0.118,0.11,0.092,0.128,0.094,0.104,0.084,0.094,0.098,0.112,0.12,0.146,0.094,0.114,0.124,0.102,0.086,0.096,0.104,0.098,0.11,0.084,0.086,0.084,0.108,0.116,0.088,0.086,0.088,0.112,0.08,0.118,0.082,0.086,0.08,0.082,0.084,0.074,0.096,0.09,0.106,0.078,0.1,0.102,0.094,0.12,0.08,0.094,0.102,0.082,0.076,0.122,0.116,0.078,0.13,0.164,0.09,0.104,0.112,0.106,0.132,0.09,0.134,0.114,0.138,0.124,0.126,0.118,0.12,0.128,0.12,0.124,0.106,0.122,0.12,0.098,0.08,0.086,0.084,0.104,0.1,0.134,0.114,0.11,0.144,0.118,0.186,0.13,0.098,0.098
0.204,0.152,0.238,0.118,1.0,0.128,0.124,0.144,0.136,0.104,0.128,0.134,0.144,0.132,0.24,0.148,0.142,0.138,0.14,0.208,0.28,0.22,0.128,0.126,0.146,0.162,0.112,0.122,0.156,0.126,0.128,0.184,0.162,0.174,0.092,0.152,0.16,0.146,0.158,0.146,0.146,0.11,0.114,0.158,0.246,0.118,0.26,0.15,0.128,0.126,0.134,0.126,0.138,0.154,0.12,0.124,0.35,0.114,0.148,0.104,0.108,0.116,0.132,0.128,0.13,0.146,0.15,0.122,0.138,0.14,0.132,0.156,0.152,0.136,0.128,0.148,0.204,0.876,0.738,0.154,0.148,0.148,0.122,0.116,0.116,0.11,0.136,0.142,0.138,0.152,0.114,0.156,0.132,0.12
0.132,0.16,0.136,0.11,0.128,1.0,0.202,0.24,0.268,0.15,0.168,0.118,0.124,0.124,0.134,0.17,0.16,0.154,0.184,0.112,0.128,0.126,0.174,0.156,0.178,0.132,0.136,0.144,0.176,0.152,0.13,0.13,0.138,0.148,0.182,0.17,0.138,0.148,0.114,0.112,0.112,0.156,0.156,0.142,0.128,0.164,0.15,0.174,0.178,0.104,0.17,0.104,0.154,0.128,0.12,0.154,0.14,0.08,0.17,0.114,0.128,0.128,0.172,0.176,0.164,0.186,0.172,0.146,0.152,0.17,0.158,0.18,0.188,0.154,0.154,0.168,0.144,0.158,0.136,0.122,0.12,0.112,0.166,0.164,0.142,0.122,0.172,0.188,0.166,0.174,0.126,0.176,0.148,0.148
0.124,0.132,0.108,0.092,0.124,0.202,1.0,0.212,0.206,0.15,0.164,0.116,0.132,0.116,0.118,0.162,0.136,0.126,0.162,0.128,0.148,0.124,0.152,0.216,0.148,0.15,0.156,0.148,0.148,0.136,0.14,0.14,0.138,0.132,0.132,0.152,0.144,0.142,0.152,0.124,0.138,0.158,0.136,0.138,0.112,0.19,0.12,0.14,0.144,0.1,0.16,0.116,0.154,0.148,0.114,0.14,0.112,0.084,0.188,0.102,0.106,0.108,0.144,0.128,0.136,0.168,0.156,0.132,0.128,0.148,0.15,0.162,0.154,0.146,0.152,0.142,0.122,0.128,0.124,0.128,0.13,0.118,0.138,0.15,0.146,0.112,0.13,0.16,0.116,0.146,0.102,0.138,0.146,0.134
0.136,0.176,0.158,0.128,0.144,0.24,0.212,1.0,0.466,0.156,0.156,0.122,0.126,0.14,0.15,0.212,0.108,0.142,0.164,0.15,0.156,0.154,0.13,0.134,0.132,0.136,0.152,0.142,0.128,0.162,0.13,0.124,0.128,0.138,0.154,0.13,0.134,0.136,0.148,0.136,0.136,0.152,0.14,0.144,0.134,0.174,0.134,0.13,0.154,0.128,0.146,0.146,0.182,0.164,0.13,0.146,0.168,0.094,0.166,0.132,0.1,0.138,0.144,0.164,0.218,0.144,0.172,0.144,0.18,0.168,0.162,0.15,0.156,0.162,0.16,0.166,0.162,0.138,0.162,0.118,0.122,0.134,0.146,0.162,0.154,0.12,0.178,0.166,0.15,0.148,0.148,0.176,0.144,0.14
0.146,0.124,0.134,0.094,0.136,0.268,0.206,0.466,1.0,0.15,0.164,0.13,0.13,0.13,0.144,0.138,0.15,0.156,0.134,0.144,0.122,0.188,0.144,0.14,0.162,0.13,0.182,0.166,0.156,0.154,0.154,0.126,0.138,0.128,0.148,0.162,0.128,0.182,0.144,0.136,0.118,0.182,0.138,0.15,0.146,0.188,0.148,0.154,0.208,0.126,0.202,0.114,0.172,0.158,0.13,0.15,0.146,0.096,0.17,0.13,0.116,0.14,0.154,0.174,0.156,0.174,0.13,0.13,0.182,0.178,0.174,0.164,0.166,0.176,0.172,0.186,0.18,0.134,0.156,0.128,0.134,0.136,0.18,0.178,0.176,0.122,0.162,0.192,0.14,0.156,0.134,0.16,0.136,0.13
0.126,0.138,0.108,0.104,0.104,0.15,0.15,0.156,0.15,1.0,0.472,0.16,0.146,0.146,0.116,0.142,0.154,0.174,0.152,0.118,0.09,0.104,0.19,0.128,0.154,0.092,0.122,0.142,0.148,0.168,0.122,0.1,0.09,0.104,0.118,0.15,0.1,0.13,0.096,0.076,0.086,0.116,0.154,0.1,0.118,0.114,0.104,0.15,0.166,0.104,0.132,0.078,0.158,0.12,0.08,0.146,0.102,0.064,0.112,0.126,0.08,0.142,0.152,0.128,0.158,0.118,0.144,0.146,0.158,0.19,0.18,0.162,0.156,0.15,0.18,0.148,0.124,0.11,0.126,0.09,0.096,0.09,0.102,0.15,0.152,0.104,0.138,0.136,0.114,0.154,0.108,0.144,0.122,0.138
