GenomeA,GenomeB,ani_distance,kmer_ani,algorithm
FQ312032,FQ312032,100.0,9,fastani
FQ312032,JX128257,97.9076,9,fastani
FQ312032,KJ174317,96.8405,9,fastani
FQ312032,KF669654,95.4688,9,fastani
FQ312032,KF669653,94.5959,9,fastani
FQ312032,MG748547,91.006,9,fastani
FQ312032,MN871498,90.8838,9,fastani
FQ312032,MG428992,90.5043,9,fastani
FQ312032,MH370371,90.3848,9,fastani
FQ312032,MT074472,90.372,9,fastani
FQ312032,MT074477,90.3334,9,fastani
FQ312032,MK972699,90.3177,9,fastani
FQ312032,MT074469,89.8572,9,fastani
FQ312032,MT074479,89.67,9,fastani
FQ312032,MT074471,89.5607,9,fastani
FQ312032,MH791405,89.403,9,fastani
FQ312032,KP797973,89.3152,9,fastani
FQ312032,MH709120,88.9714,9,fastani
FQ312032,MK972690,88.8681,9,fastani
FQ312032,MT074480,88.8185,9,fastani
FQ312032,MT074475,88.6844,9,fastani
FQ312032,MT074470,88.6656,9,fastani
FQ312032,MT074474,88.6256,9,fastani
FQ312032,JN126049,88.6107,9,fastani
FQ312032,MN871491,88.4955,9,fastani
FQ312032,JN593240,88.4934,9,fastani
FQ312032,HQ259103,88.4079,9,fastani
FQ312032,MG383452,88.3491,9,fastani
FQ312032,MH709121,88.2111,9,fastani
FQ312032,KX245012,88.1921,9,fastani
FQ312032,KX438380,87.975,9,fastani
FQ312032,MN871495,87.9597,9,fastani
FQ312032,KY787213,87.9513,9,fastani
FQ312032,MT074478,87.8867,9,fastani
FQ312032,KR296692,87.8729,9,fastani
FQ312032,KJ174318,87.6172,9,fastani
FQ312032,KX765865,87.5819,9,fastani
HQ259103,HQ259103,100.0,9,fastani
HQ259103,KX245012,98.4675,9,fastani
HQ259103,MG383452,97.9762,9,fastani
HQ259103,KY787213,97.8326,9,fastani
HQ259103,JN593240,97.7839,9,fastani
HQ259103,MT074478,97.7752,9,fastani
HQ259103,MN871491,97.6483,9,fastani
HQ259103,KX765865,97.6148,9,fastani
HQ259103,MT074474,97.4322,9,fastani
HQ259103,MH709121,97.4274,9,fastani
HQ259103,KJ174318,97.2924,9,fastani
HQ259103,JN126049,97.1934,9,fastani
HQ259103,MH791405,97.1086,9,fastani
HQ259103,KX438380,97.0314,9,fastani
HQ259103,MT074470,97.0301,9,fastani
HQ259103,MT074475,97.0108,9,fastani
HQ259103,KR296692,96.7968,9,fastani
HQ259103,MN871495,96.7774,9,fastani
HQ259103,MK972690,96.7453,9,fastani
HQ259103,MH709120,96.611,9,fastani
HQ259103,MT074469,96.4003,9,fastani
HQ259103,KP797973,96.1684,9,fastani
HQ259103,MH370371,96.0452,9,fastani
HQ259103,MT074480,95.9806,9,fastani
HQ259103,MT074471,95.4267,9,fastani
HQ259103,MK972699,95.4173,9,fastani
HQ259103,MT074472,95.4081,9,fastani
HQ259103,MT074477,95.2202,9,fastani
HQ259103,MT074479,94.9618,9,fastani
