FQ312032.1 Salmonella phage Vi01 complete sequence,"HQ259103.1 Salmonella phage SFP10, complete genome","JN126049.1 Salmonella phage PhiSH19, complete genome","JN593240.1 Escherichia phage Cba120, complete genome","JX128257.1 Escherichia phage ECML-4, complete genome","KF669653.1 Salmonella phage Marshall, complete genome","KF669654.1 Salmonella phage Maynard, complete genome","KJ174317.1 Salmonella phage vB_SalM_SJ2, complete genome","KJ174318.1 Salmonella phage vB_SalM_SJ3, complete genome","KP797973.1 Salmonella phage Det7, complete genome","KR296692.1 Salmonella phage 38, complete genome","KX245012.1 Salmonella phage GG32, complete genome","KX438380.2 Salmonella phage vB-SalM-PM10, complete genome","KX765865.1 Salmonella phage ST-W77, complete genome","KY787213.1 Salmonella phage BSP101, complete genome","MG383452.2 Escherichia phage FEC14, complete genome","MG428992.1 Salmonella phage Mutine, complete genome","MG748547.1 Escherichia phage EP75, complete genome","MH370371.1 Salmonella phage S118, complete genome","MH709120.1 Salmonella phage SenASZ3, complete genome","MH709121.1 Salmonella phage SenALZ1, complete genome","MH791405.1 UNVERIFIED: Salmonella phage SeSz-1, complete genome","MK972690.1 Salmonella phage SE14, complete genome","MK972699.1 Salmonella phage SS9, complete genome","MN871491.1 UNVERIFIED_ORG: Salmonella phage Se-B, complete genome","MN871495.1 UNVERIFIED_ORG: Salmonella phage Se-G, complete genome","MN871498.1 UNVERIFIED_ORG: Salmonella phage Se-J, complete genome","MT074469.1 Salmonella phage rabagast, complete genome","MT074470.1 Salmonella phage heyday, complete genome","MT074471.1 Salmonella phage allotria, complete genome","MT074472.1 Salmonella phage bering, complete genome","MT074474.1 Salmonella phage aagejoakim, complete genome","MT074475.1 Salmonella phage dinky, complete genome","MT074477.1 Salmonella phage barely, complete genome","MT074478.1 Salmonella phage moki, complete genome","MT074479.1 Salmonella phage pertopsoe, complete genome","MT074480.1 Salmonella phage maane, complete genome"
1.0,0.124,0.114,0.118,0.58,0.344,0.4,0.504,0.106,0.136,0.108,0.11,0.112,0.11,0.126,0.124,0.19,0.184,0.202,0.118,0.1,0.146,0.104,0.168,0.124,0.118,0.176,0.174,0.116,0.134,0.154,0.124,0.136,0.164,0.102,0.158,0.116
0.124,1.0,0.454,0.546,0.146,0.178,0.144,0.152,0.486,0.398,0.45,0.654,0.47,0.506,0.566,0.554,0.36,0.314,0.472,0.418,0.486,0.506,0.482,0.378,0.558,0.438,0.332,0.472,0.498,0.31,0.384,0.55,0.536,0.346,0.568,0.31,0.35
0.114,0.454,1.0,0.448,0.14,0.174,0.136,0.154,0.47,0.368,0.46,0.436,0.506,0.508,0.476,0.44,0.354,0.32,0.34,0.534,0.494,0.432,0.506,0.358,0.476,0.442,0.274,0.368,0.444,0.314,0.364,0.422,0.444,0.386,0.506,0.328,0.298
0.118,0.546,0.448,1.0,0.146,0.166,0.138,0.152,0.504,0.348,0.43,0.512,0.5,0.522,0.53,0.548,0.396,0.31,0.44,0.424,0.468,0.426,0.456,0.42,0.546,0.456,0.302,0.434,0.456,0.328,0.34,0.51,0.44,0.346,0.528,0.322,0.348
0.58,0.146,0.14,0.146,1.0,0.302,0.358,0.478,0.114,0.14,0.128,0.128,0.13,0.134,0.148,0.17,0.232,0.198,0.232,0.138,0.116,0.158,0.12,0.196,0.144,0.128,0.196,0.214,0.144,0.132,0.152,0.144,0.14,0.192,0.116,0.16,0.13
0.344,0.178,0.174,0.166,0.302,1.0,0.704,0.284,0.158,0.164,0.17,0.17,0.16,0.152,0.174,0.162,0.178,0.234,0.18,0.182,0.148,0.188,0.168,0.188,0.162,0.15,0.198,0.18,0.156,0.128,0.196,0.148,0.188,0.184,0.174,0.162,0.138
0.4,0.144,0.136,0.138,0.358,0.704,1.0,0.33,0.128,0.15,0.142,0.138,0.144,0.126,0.144,0.136,0.174,0.204,0.188,0.142,0.134,0.172,0.138,0.17,0.136,0.134,0.174,0.17,0.128,0.13,0.16,0.128,0.166,0.17,0.136,0.16,0.136
0.504,0.152,0.154,0.152,0.478,0.284,0.33,1.0,0.152,0.152,0.144,0.138,0.126,0.144,0.164,0.168,0.216,0.194,0.186,0.158,0.134,0.17,0.144,0.168,0.168,0.148,0.186,0.19,0.15,0.164,0.16,0.16,0.164,0.232,0.132,0.196,0.146
0.106,0.486,0.47,0.504,0.114,0.158,0.128,0.152,1.0,0.358,0.496,0.458,0.516,0.63,0.488,0.474,0.36,0.332,0.342,0.424,0.442,0.444,0.446,0.366,0.486,0.46,0.262,0.354,0.442,0.32,0.326,0.434,0.448,0.382,0.506,0.334,0.322
0.136,0.398,0.368,0.348,0.14,0.164,0.15,0.152,0.358,1.0,0.356,0.36,0.386,0.372,0.392,0.356,0.314,0.292,0.3,0.346,0.426,0.384,0.368,0.312,0.388,0.348,0.322,0.304,0.346,0.294,0.348,0.332,0.366,0.354,0.372,0.276,0.31
0.108,0.45,0.46,0.43,0.128,0.17,0.142,0.144,0.496,0.356,1.0,0.418,0.534,0.466,0.452,0.416,0.348,0.338,0.338,0.42,0.428,0.482,0.454,0.36,0.446,0.448,0.272,0.35,0.406,0.29,0.312,0.436,0.454,0.368,0.44,0.302,0.342
0.11,0.654,0.436,0.512,0.128,0.17,0.138,0.138,0.458,0.36,0.418,1.0,0.456,0.464,0.52,0.484,0.354,0.304,0.424,0.376,0.486,0.482,0.462,0.372,0.54,0.464,0.328,0.442,0.496,0.298,0.356,0.452,0.464,0.396,0.528,0.29,0.31
0.112,0.47,0.506,0.5,0.13,0.16,0.144,0.126,0.516,0.386,0.534,0.456,1.0,0.514,0.436,0.412,0.386,0.302,0.384,0.434,0.476,0.494,0.488,0.362,0.434,0.456,0.292,0.398,0.408,0.302,0.326,0.408,0.504,0.384,0.454,0.28,0.33
0.11,0.506,0.508,0.522,0.134,0.152,0.126,0.144,0.63,0.372,0.466,0.464,0.514,1.0,0.506,0.48,0.372,0.326,0.354,0.422,0.5,0.464,0.496,0.378,0.488,0.478,0.31,0.386,0.476,0.316,0.346,0.456,0.476,0.374,0.532,0.312,0.334
0.126,0.566,0.476,0.53,0.148,0.174,0.144,0.164,0.488,0.392,0.452,0.52,0.436,0.506,1.0,0.544,0.394,0.32,0.388,0.402,0.48,0.442,0.466,0.38,0.64,0.47,0.304,0.398,0.582,0.342,0.37,0.52,0.472,0.356,0.596,0.326,0.352
0.124,0.554,0.44,0.548,0.17,0.162,0.136,0.168,0.474,0.356,0.416,0.484,0.412,0.48,0.544,1.0,0.366,0.306,0.378,0.398,0.46,0.404,0.448,0.392,0.506,0.426,0.314,0.384,0.436,0.34,0.344,0.504,0.442,0.334,0.502,0.336,0.344
0.19,0.36,0.354,0.396,0.232,0.178,0.174,0.216,0.36,0.314,0.348,0.354,0.386,0.372,0.394,0.366,1.0,0.288,0.402,0.34,0.352,0.368,0.334,0.35,0.388,0.354,0.278,0.366,0.328,0.27,0.32,0.346,0.354,0.342,0.364,0.258,0.298
0.184,0.314,0.32,0.31,0.198,0.234,0.204,0.194,0.332,0.292,0.338,0.304,0.302,0.326,0.32,0.306,0.288,1.0,0.338,0.292,0.326,0.3,0.304,0.278,0.306,0.276,0.286,0.304,0.306,0.228,0.328,0.316,0.304,0.256,0.332,0.254,0.236
0.202,0.472,0.34,0.44,0.232,0.18,0.188,0.186,0.342,0.3,0.338,0.424,0.384,0.354,0.388,0.378,0.402,0.338,1.0,0.306,0.36,0.394,0.354,0.384,0.402,0.318,0.294,0.726,0.37,0.296,0.342,0.432,0.376,0.284,0.382,0.298,0.298
0.118,0.418,0.534,0.424,0.138,0.182,0.142,0.158,0.424,0.346,0.42,0.376,0.434,0.422,0.402,0.398,0.34,0.292,0.306,1.0,0.45,0.426,0.486,0.344,0.422,0.434,0.288,0.316,0.378,0.3,0.308,0.41,0.45,0.338,0.442,0.3,0.32
0.1,0.486,0.494,0.468,0.116,0.148,0.134,0.134,0.442,0.426,0.428,0.486,0.476,0.5,0.48,0.46,0.352,0.326,0.36,0.45,1.0,0.48,0.498,0.34,0.478,0.494,0.31,0.378,0.492,0.318,0.38,0.444,0.508,0.366,0.478,0.306,0.334
0.146,0.506,0.432,0.426,0.158,0.188,0.172,0.17,0.444,0.384,0.482,0.482,0.494,0.464,0.442,0.404,0.368,0.3,0.394,0.426,0.48,1.0,0.476,0.398,0.442,0.434,0.348,0.392,0.442,0.298,0.394,0.444,0.556,0.406,0.44,0.3,0.396
0.104,0.482,0.506,0.456,0.12,0.168,0.138,0.144,0.446,0.368,0.454,0.462,0.488,0.496,0.466,0.448,0.334,0.304,0.354,0.486,0.498,0.476,1.0,0.378,0.456,0.426,0.296,0.374,0.51,0.302,0.352,0.476,0.566,0.33,0.478,0.33,0.336
0.168,0.378,0.358,0.42,0.196,0.188,0.17,0.168,0.366,0.312,0.36,0.372,0.362,0.378,0.38,0.392,0.35,0.278,0.384,0.344,0.34,0.398,0.378,1.0,0.354,0.36,0.286,0.348,0.364,0.27,0.296,0.36,0.354,0.294,0.36,0.278,0.288
0.124,0.558,0.476,0.546,0.144,0.162,0.136,0.168,0.486,0.388,0.446,0.54,0.434,0.488,0.64,0.506,0.388,0.306,0.402,0.422,0.478,0.442,0.456,0.354,1.0,0.47,0.308,0.412,0.508,0.346,0.356,0.504,0.44,0.38,0.576,0.338,0.366
0.118,0.438,0.442,0.456,0.128,0.15,0.134,0.148,0.46,0.348,0.448,0.464,0.456,0.478,0.47,0.426,0.354,0.276,0.318,0.434,0.494,0.434,0.426,0.36,0.47,1.0,0.298,0.324,0.408,0.334,0.308,0.408,0.432,0.36,0.468,0.308,0.324
0.176,0.332,0.274,0.302,0.196,0.198,0.174,0.186,0.262,0.322,0.272,0.328,0.292,0.31,0.304,0.314,0.278,0.286,0.294,0.288,0.31,0.348,0.296,0.286,0.308,0.298,1.0,0.28,0.3,0.278,0.308,0.296,0.318,0.264,0.288,0.238,0.31
0.174,0.472,0.368,0.434,0.214,0.18,0.17,0.19,0.354,0.304,0.35,0.442,0.398,0.386,0.398,0.384,0.366,0.304,0.726,0.316,0.378,0.392,0.374,0.348,0.412,0.324,0.28,1.0,0.412,0.28,0.296,0.426,0.372,0.3,0.408,0.264,0.28
0.116,0.498,0.444,0.456,0.144,0.156,0.128,0.15,0.442,0.346,0.406,0.496,0.408,0.476,0.582,0.436,0.328,0.306,0.37,0.378,0.492,0.442,0.51,0.364,0.508,0.408,0.3,0.412,1.0,0.288,0.372,0.438,0.526,0.36,0.502,0.288,0.322
