GenomeA,GenomeB,ani_distance,kmer_ani,algorithm
FQ312032,FQ312032,100.0,8,fastani
FQ312032,JX128257,97.9448,8,fastani
FQ312032,KJ174317,96.9326,8,fastani
FQ312032,KF669654,95.5305,8,fastani
FQ312032,KF669653,94.5871,8,fastani
FQ312032,MG748547,91.1858,8,fastani
FQ312032,MN871498,90.8124,8,fastani
FQ312032,MT074472,90.5889,8,fastani
FQ312032,MG428992,90.3601,8,fastani
FQ312032,MH370371,90.3326,8,fastani
FQ312032,MT074477,90.2103,8,fastani
FQ312032,MT074469,90.0346,8,fastani
FQ312032,MK972699,89.8974,8,fastani
FQ312032,MT074471,89.6735,8,fastani
FQ312032,MT074479,89.5825,8,fastani
FQ312032,MH791405,89.5445,8,fastani
FQ312032,MT074480,88.8634,8,fastani
FQ312032,KP797973,88.8412,8,fastani
FQ312032,MH709120,88.7559,8,fastani
FQ312032,MG383452,88.6855,8,fastani
FQ312032,JN126049,88.6292,8,fastani
FQ312032,MT074470,88.6028,8,fastani
FQ312032,MT074475,88.6013,8,fastani
FQ312032,MT074474,88.5562,8,fastani
FQ312032,JN593240,88.5389,8,fastani
FQ312032,MN871491,88.528,8,fastani
FQ312032,MK972690,88.4974,8,fastani
FQ312032,KX245012,88.3316,8,fastani
FQ312032,HQ259103,88.2227,8,fastani
FQ312032,MH709121,88.1267,8,fastani
FQ312032,MT074478,88.0525,8,fastani
FQ312032,KX438380,87.9614,8,fastani
FQ312032,MN871495,87.9182,8,fastani
FQ312032,KY787213,87.9057,8,fastani
FQ312032,KX765865,87.8365,8,fastani
FQ312032,KR296692,87.7459,8,fastani
FQ312032,KJ174318,87.6697,8,fastani
HQ259103,HQ259103,100.0,8,fastani
HQ259103,KX245012,98.3747,8,fastani
HQ259103,MG383452,97.9653,8,fastani
HQ259103,KY787213,97.8812,8,fastani
HQ259103,JN593240,97.6209,8,fastani
HQ259103,MT074478,97.6192,8,fastani
HQ259103,MN871491,97.5755,8,fastani
HQ259103,MT074474,97.5547,8,fastani
HQ259103,MH709121,97.4693,8,fastani
HQ259103,KX765865,97.4309,8,fastani
HQ259103,KJ174318,97.0578,8,fastani
HQ259103,JN126049,96.992,8,fastani
HQ259103,KX438380,96.9789,8,fastani
HQ259103,MH791405,96.9013,8,fastani
HQ259103,MT074475,96.8792,8,fastani
HQ259103,MT074470,96.8328,8,fastani
HQ259103,MN871495,96.7539,8,fastani
HQ259103,MK972690,96.6116,8,fastani
HQ259103,KR296692,96.5825,8,fastani
HQ259103,MT074469,96.5331,8,fastani
HQ259103,MH709120,96.4694,8,fastani
HQ259103,KP797973,96.1384,8,fastani
HQ259103,MT074480,95.9722,8,fastani
HQ259103,MH370371,95.9281,8,fastani
HQ259103,MK972699,95.3011,8,fastani
HQ259103,MT074471,95.2374,8,fastani
HQ259103,MT074472,95.1303,8,fastani
HQ259103,MT074477,95.127,8,fastani
HQ259103,MG428992,95.0115,8,fastani
