GenomeA,GenomeB,mash_distance,kmer_mash,algorithm
FQ312032,FQ312032,0.0,15,mash
HQ259103,FQ312032,0.101713,15,mash
JN126049,FQ312032,0.0935996,15,mash
JN593240,FQ312032,0.094019,15,mash
JX128257,FQ312032,0.016459,15,mash
KF669653,FQ312032,0.0414577,15,mash
KF669654,FQ312032,0.0345563,15,mash
KJ174317,FQ312032,0.0250472,15,mash
KJ174318,FQ312032,0.107899,15,mash
KP797973,FQ312032,0.0880593,15,mash
KR296692,FQ312032,0.106285,15,mash
KX245012,FQ312032,0.0975009,15,mash
KX438380,FQ312032,0.0997998,15,mash
KX765865,FQ312032,0.107899,15,mash
KY787213,FQ312032,0.0984085,15,mash
MG383452,FQ312032,0.0944418,15,mash
MG428992,FQ312032,0.0679888,15,mash
MG748547,FQ312032,0.0710691,15,mash
MH370371,FQ312032,0.0763982,15,mash
MH709120,FQ312032,0.0903611,15,mash
MH709121,FQ312032,0.103698,15,mash
MH791405,FQ312032,0.0830625,15,mash
MK972690,FQ312032,0.096168,15,mash
MK972699,FQ312032,0.0732408,15,mash
MN871491,FQ312032,0.0952978,15,mash
MN871495,FQ312032,0.103698,15,mash
MN871498,FQ312032,0.0716027,15,mash
MT074469,FQ312032,0.0820535,15,mash
MT074470,FQ312032,0.0975009,15,mash
MT074471,FQ312032,0.0837466,15,mash
MT074472,FQ312032,0.0700196,15,mash
MT074474,FQ312032,0.0915519,15,mash
MT074475,FQ312032,0.0911519,15,mash
MT074477,FQ312032,0.0761025,15,mash
MT074478,FQ312032,0.0988683,15,mash
MT074479,FQ312032,0.0804162,15,mash
MT074480,FQ312032,0.0873145,15,mash
FQ312032,HQ259103,0.101713,15,mash
HQ259103,HQ259103,0.0,15,mash
JN126049,HQ259103,0.0265019,15,mash
JN593240,HQ259103,0.0166497,15,mash
JX128257,HQ259103,0.0888151,15,mash
KF669653,HQ259103,0.0782117,15,mash
KF669654,HQ259103,0.0851436,15,mash
