Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994504.fasta	91.74	50.65	43.68	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN994504.1 Phage NBSal005, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	94.41	57.30	51.29	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN970211.1 Phage NBEco001, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	91.52	50.29	47.51	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN026741.1 Salmonella phage Th1, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	94.27	62.10	53.96	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	93.92	59.89	61.48	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MH203051.1 Escherichia phage Gostya9, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	93.85	60.68	58.86	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KY677846.fasta	92.98	58.35	56.77	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KY677846.1 Escherichia phage phiLLS, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KR422353.fasta	93.47	58.17	58.53	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KR422353.1 Escherichia phage APCEc03, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KM979355.fasta	93.65	55.06	53.00	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KM979355.1 Escherichia phage DT571/2, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/HQ665011.fasta	93.16	56.35	54.03	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	HQ665011.1 Escherichia phage vB_EcoS_AKFV33, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AP019559.fasta	94.40	57.83	54.40	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	AP019559.1 Escherichia phage SP15 DNA, complete genome
