GenomeA,GenomeB,mash_distance,kmer_mash,algorithm
FQ312032,FQ312032,0.0,17,mash
HQ259103,FQ312032,0.0893193,17,mash
JN126049,FQ312032,0.0807811,17,mash
JN593240,FQ312032,0.0807811,17,mash
JX128257,FQ312032,0.0145226,17,mash
KF669653,FQ312032,0.0331293,17,mash
KF669654,FQ312032,0.0296259,17,mash
KJ174317,FQ312032,0.0220268,17,mash
KJ174318,FQ312032,0.0956893,17,mash
KP797973,FQ312032,0.0804282,17,mash
KR296692,FQ312032,0.0906144,17,mash
KX245012,FQ312032,0.0876459,17,mash
KX438380,FQ312032,0.0901787,17,mash
KX765865,FQ312032,0.0937811,17,mash
KY787213,FQ312032,0.0888953,17,mash
MG383452,FQ312032,0.0844686,17,mash
MG428992,FQ312032,0.0608763,17,mash
MG748547,FQ312032,0.0586959,17,mash
MH370371,FQ312032,0.0671493,17,mash
MH709120,FQ312032,0.0780316,17,mash
MH709121,FQ312032,0.0947258,17,mash
MH791405,FQ312032,0.0793855,17,mash
MK972690,FQ312032,0.0814953,17,mash
MK972699,FQ312032,0.0636551,17,mash
MN871491,FQ312032,0.0829579,17,mash
MN871495,FQ312032,0.0872367,17,mash
MN871498,FQ312032,0.0643799,17,mash
MT074469,FQ312032,0.0760742,17,mash
MT074470,FQ312032,0.0880587,17,mash
MT074471,FQ312032,0.0783663,17,mash
MT074472,FQ312032,0.0622424,17,mash
MT074474,FQ312032,0.0829579,17,mash
MT074475,FQ312032,0.0844686,17,mash
MT074477,FQ312032,0.0658679,17,mash
MT074478,FQ312032,0.0880587,17,mash
MT074479,FQ312032,0.0754403,17,mash
MT074480,FQ312032,0.0840863,17,mash
FQ312032,HQ259103,0.0893193,17,mash
HQ259103,HQ259103,0.0,17,mash
JN126049,HQ259103,0.0227729,17,mash
JN593240,HQ259103,0.0162568,17,mash
JX128257,HQ259103,0.0793855,17,mash
KF669653,HQ259103,0.067937,17,mash
KF669654,HQ259103,0.0721074,17,mash
KJ174317,HQ259103,0.0763946,17,mash
KJ174318,HQ259103,0.0210849,17,mash
KP797973,HQ259103,0.0288765,17,mash
KR296692,HQ259103,0.0237726,17,mash
KX245012,HQ259103,0.0117193,17,mash
KX438380,HQ259103,0.0206604,17,mash
KX765865,HQ259103,0.0194243,17,mash
KY787213,HQ259103,0.01526,17,mash
MG383452,HQ259103,0.0164367,17,mash
MG428992,HQ259103,0.0336622,17,mash
MG748547,HQ259103,0.0399019,17,mash
MH370371,HQ259103,0.0244051,17,mash
MH709120,HQ259103,0.0239294,17,mash
MH709121,HQ259103,0.0196266,17,mash
MH791405,HQ259103,0.0209427,17,mash
MK972690,HQ259103,0.0225471,17,mash
MK972699,HQ259103,0.0313799,17,mash
MN871491,HQ259103,0.0165573,17,mash
MN871495,HQ259103,0.0217336,17,mash
MN871498,HQ259103,0.0365803,17,mash
MT074469,HQ259103,0.0274297,17,mash
MT074470,HQ259103,0.0223229,17,mash
MT074471,HQ259103,0.0362303,17,mash
MT074472,HQ259103,0.0353145,17,mash
MT074474,HQ259103,0.0160782,17,mash
MT074475,HQ259103,0.0189581,17,mash
MT074477,HQ259103,0.0352018,17,mash
MT074478,HQ259103,0.015088,17,mash
MT074479,HQ259103,0.0378951,17,mash
MT074480,HQ259103,0.0320889,17,mash
FQ312032,JN126049,0.0807811,17,mash
HQ259103,JN126049,0.0227729,17,mash
JN126049,JN126049,0.0,17,mash
JN593240,JN126049,0.0219532,17,mash
JX128257,JN126049,0.0715276,17,mash
KF669653,JN126049,0.0671493,17,mash
KF669654,JN126049,0.0712406,17,mash
KJ174317,JN126049,0.0651173,17,mash
KJ174318,JN126049,0.0240871,17,mash
KP797973,JN126049,0.0327092,17,mash
KR296692,JN126049,0.0240871,17,mash
KX245012,JN126049,0.0230006,17,mash
KX438380,JN126049,0.0220268,17,mash
KX765865,JN126049,0.0218066,17,mash
KY787213,JN126049,0.0230769,17,mash
MG383452,JN126049,0.0239294,17,mash
MG428992,JN126049,0.0332352,17,mash
MG748547,JN126049,0.038386,17,mash
MH370371,JN126049,0.0332352,17,mash
MH709120,JN126049,0.0240082,17,mash
MH709121,JN126049,0.0230006,17,mash
MH791405,JN126049,0.025712,17,mash
MK972690,JN126049,0.0198986,17,mash
MK972699,JN126049,0.0321915,17,mash
MN871491,JN126049,0.0229245,17,mash
MN871495,JN126049,0.0228486,17,mash
MN871498,JN126049,0.0404222,17,mash
MT074469,JN126049,0.0331293,17,mash
MT074470,JN126049,0.0258795,17,mash
MT074471,JN126049,0.0372912,17,mash
MT074472,JN126049,0.0329186,17,mash
MT074474,JN126049,0.0270783,17,mash
MT074475,JN126049,0.0263875,17,mash
MT074477,JN126049,0.0327092,17,mash
MT074478,JN126049,0.0202423,17,mash
MT074479,JN126049,0.0378951,17,mash
MT074480,JN126049,0.0355412,17,mash
FQ312032,JN593240,0.0807811,17,mash
HQ259103,JN593240,0.0162568,17,mash
JN126049,JN593240,0.0219532,17,mash
JN593240,JN593240,0.0,17,mash
JX128257,JN593240,0.0715276,17,mash
KF669653,JN593240,0.0671493,17,mash
KF669654,JN593240,0.0698333,17,mash
KJ174317,JN593240,0.0698333,17,mash
KJ174318,JN593240,0.0212995,17,mash
KP797973,JN593240,0.0301035,17,mash
KR296692,JN593240,0.0244051,17,mash
KX245012,JN593240,0.0215882,17,mash
KX438380,JN593240,0.0225471,17,mash
KX765865,JN593240,0.019157,17,mash
KY787213,JN593240,0.0169225,17,mash
MG383452,JN593240,0.015088,17,mash
MG428992,JN593240,0.0268174,17,mash
MG748547,JN593240,0.0385098,17,mash
MH370371,JN593240,0.0249698,17,mash
MH709120,JN593240,0.0254626,17,mash
MH709121,JN593240,0.0208012,17,mash
MH791405,JN593240,0.0266447,17,mash
MK972690,JN593240,0.0247265,17,mash
MK972699,JN593240,0.0269041,17,mash
MN871491,JN593240,0.0177943,17,mash
MN871495,JN593240,0.0234613,17,mash
MN871498,JN593240,0.0387588,17,mash
MT074469,JN593240,0.0278746,17,mash
MT074470,JN593240,0.0244851,17,mash
MT074471,JN593240,0.035655,17,mash
MT074472,JN593240,0.0345332,17,mash
MT074474,JN593240,0.0198303,17,mash
MT074475,JN593240,0.0255455,17,mash
MT074477,JN593240,0.033448,17,mash
MT074478,JN593240,0.0162568,17,mash
MT074479,JN593240,0.0392622,17,mash
MT074480,JN593240,0.033448,17,mash
FQ312032,JX128257,0.0145226,17,mash
HQ259103,JX128257,0.0793855,17,mash
JN126049,JX128257,0.0715276,17,mash
JN593240,JX128257,0.0715276,17,mash
JX128257,JX128257,0.0,17,mash
KF669653,JX128257,0.035655,17,mash
KF669654,JX128257,0.0322943,17,mash
KJ174317,JX128257,0.0226974,17,mash
KJ174318,JX128257,0.0848541,17,mash
KP797973,JX128257,0.0724002,17,mash
KR296692,JX128257,0.0793855,17,mash
KX245012,JX128257,0.0773696,17,mash
KX438380,JX128257,0.080078,17,mash
KX765865,JX128257,0.0818566,17,mash
KY787213,JX128257,0.0780316,17,mash
MG383452,JX128257,0.0726949,17,mash
MG428992,JX128257,0.0535248,17,mash
MG748547,JX128257,0.0529694,17,mash
MH370371,JX128257,0.0606529,17,mash
MH709120,JX128257,0.0706722,17,mash
MH709121,JX128257,0.0856348,17,mash
MH791405,JX128257,0.0695572,17,mash
MK972690,JX128257,0.0754403,17,mash
MK972699,JX128257,0.0570322,17,mash
MN871491,JX128257,0.0732904,17,mash
MN871495,JX128257,0.0804282,17,mash
MN871498,JX128257,0.0584841,17,mash
MT074469,JX128257,0.065366,17,mash
