GenomeA,GenomeB,ani_distance,kmer_ani,algorithm
CP000917,MT074465,95.71,static,skani
CP000917,MT074457,95.72,static,skani
CP000917,MN379739,97.39,static,skani
CP000917,MN187969,97.14,static,skani
CP000917,MK728825,96.53,static,skani
CP000917,MK050846,95.89,static,skani
CP000917,MH370386,95.73,static,skani
CP000917,MH370376,96.29,static,skani
CP000917,MH370367,96.44,static,skani
CP000917,MF431737,95.08,static,skani
CP000917,KX017521,95.97,static,skani
CP000917,HE956708,86.20,static,skani
CP000917,MT074466,96.31,static,skani
CP000917,MT074458,96.57,static,skani
CP000917,MT074449,96.57,static,skani
CP000917,MN197465,95.90,static,skani
CP000917,MK947459,96.64,static,skani
CP000917,MK370036,95.51,static,skani
CP000917,MH631454,96.12,static,skani
CP000917,MH370379,95.13,static,skani
CP000917,MH370369,97.12,static,skani
CP000917,MF681663,95.89,static,skani
CP000917,LR027389,95.04,static,skani
CP000917,KM236244,96.21,static,skani
CP000917,OL800604,91.46,static,skani
CP000917,MT074459,96.15,static,skani
CP000917,MT074450,97.18,static,skani
CP000917,MN218191,96.80,static,skani
CP000917,MK972707,95.86,static,skani
CP000917,MK393882,97.21,static,skani
CP000917,MK005300,94.77,static,skani
CP000917,MH370380,96.44,static,skani
CP000917,MH370375,89.59,static,skani
CP000917,MH370366,95.19,static,skani
CP000917,MF001363,96.22,static,skani
CP000917,KU927497,95.97,static,skani
MT074465,OL800604,91.14,static,skani
MT074465,MT074466,96.63,static,skani
MT074457,MT074458,96.44,static,skani
MT074457,MT074465,96.77,static,skani
MT074457,OL800604,91.36,static,skani
MT074457,MT074459,96.88,static,skani
MT074457,MT074466,96.00,static,skani
MN379739,MT074458,97.70,static,skani
MN379739,MT074449,97.05,static,skani
MN379739,OL800604,92.84,static,skani
MN379739,MT074459,96.45,static,skani
MN379739,MT074450,97.70,static,skani
MN379739,MT074465,96.77,static,skani
MN379739,MT074457,96.58,static,skani
MN379739,MT074466,96.40,static,skani
MN187969,MT074458,97.30,static,skani
MN187969,MT074449,96.72,static,skani
MN187969,MN197465,96.57,static,skani
MN187969,OL800604,92.51,static,skani
MN187969,MT074459,96.63,static,skani
MN187969,MT074450,97.88,static,skani
MN187969,MN218191,97.78,static,skani
MN187969,MT074465,96.92,static,skani
MN187969,MT074457,96.93,static,skani
MN187969,MN379739,97.80,static,skani
MN187969,MT074466,96.10,static,skani
MK728825,MT074458,97.06,static,skani
MK728825,MT074449,96.73,static,skani
MK728825,MN197465,95.47,static,skani
MK728825,MK947459,97.00,static,skani
MK728825,OL800604,93.05,static,skani
MK728825,MT074459,96.33,static,skani
MK728825,MT074450,97.28,static,skani
MK728825,MN218191,97.51,static,skani
MK728825,MK972707,95.82,static,skani
MK728825,MT074465,96.70,static,skani
MK728825,MT074457,97.01,static,skani
MK728825,MN379739,97.51,static,skani
MK728825,MN187969,97.94,static,skani
MK728825,MT074466,96.26,static,skani
MK050846,MT074458,97.29,static,skani
MK050846,MT074449,98.07,static,skani
MK050846,MN197465,97.38,static,skani
MK050846,MK947459,96.28,static,skani
MK050846,MK370036,96.89,static,skani
MK050846,MT074465,97.84,static,skani
MK050846,MT074457,96.07,static,skani
MK050846,MN379739,97.67,static,skani
MK050846,MN187969,97.33,static,skani
MK050846,MK728825,96.65,static,skani
MK050846,OL800604,92.21,static,skani
MK050846,MT074459,96.55,static,skani
MK050846,MT074450,98.36,static,skani
MK050846,MN218191,97.35,static,skani
MK050846,MK972707,95.87,static,skani
MK050846,MK393882,97.82,static,skani
MK050846,MT074466,96.34,static,skani
MH370386,MT074458,96.30,static,skani
MH370386,MT074449,96.25,static,skani
MH370386,MN197465,96.73,static,skani
MH370386,MK947459,95.93,static,skani
MH370386,MK370036,96.67,static,skani
MH370386,MH631454,96.73,static,skani
MH370386,MT074465,96.71,static,skani
MH370386,MT074457,98.42,static,skani
MH370386,MN379739,96.42,static,skani
MH370386,MN187969,96.83,static,skani
MH370386,MK728825,96.94,static,skani
MH370386,MK050846,96.57,static,skani
MH370386,OL800604,92.04,static,skani
MH370386,MT074459,97.26,static,skani
MH370386,MT074450,96.78,static,skani
MH370386,MN218191,96.51,static,skani
MH370386,MK972707,97.40,static,skani
MH370386,MK393882,96.24,static,skani
MH370386,MK005300,95.57,static,skani
MH370386,MT074466,96.56,static,skani
MH370376,MT074458,95.83,static,skani
