GenomeA,GenomeB,ani_distance,kmer_ani,algorithm
CP000917,CP000917,100.0,10,fastani
CP000917,MK393882,96.4456,10,fastani
CP000917,MH370369,96.3106,10,fastani
CP000917,MN218191,96.2394,10,fastani
CP000917,MT074450,96.1864,10,fastani
CP000917,MN379739,96.0888,10,fastani
CP000917,MN187969,96.0875,10,fastani
CP000917,MK947459,95.8684,10,fastani
CP000917,KX017521,95.8569,10,fastani
CP000917,KU927497,95.84,10,fastani
CP000917,MK728825,95.7952,10,fastani
CP000917,MT074458,95.7705,10,fastani
CP000917,MH631454,95.7271,10,fastani
CP000917,MT074459,95.726,10,fastani
CP000917,MF001363,95.7128,10,fastani
CP000917,MK050846,95.5996,10,fastani
CP000917,MH370367,95.5469,10,fastani
CP000917,MH370380,95.5461,10,fastani
CP000917,MT074465,95.5169,10,fastani
CP000917,MH370366,95.5095,10,fastani
CP000917,MK972707,95.4471,10,fastani
CP000917,MH370386,95.3772,10,fastani
CP000917,MT074449,95.3735,10,fastani
CP000917,MF431737,95.3608,10,fastani
CP000917,MT074466,95.3229,10,fastani
CP000917,KM236244,95.3159,10,fastani
CP000917,MT074457,95.2241,10,fastani
CP000917,MK370036,95.1871,10,fastani
CP000917,MH370376,95.179,10,fastani
CP000917,MH370379,95.0828,10,fastani
CP000917,MN197465,94.9065,10,fastani
CP000917,LR027389,94.5776,10,fastani
CP000917,MK005300,94.5459,10,fastani
CP000917,MF681663,93.7905,10,fastani
CP000917,OL800604,89.5448,10,fastani
CP000917,MH370375,88.9842,10,fastani
CP000917,HE956708,85.1408,10,fastani
HE956708,HE956708,100.0,10,fastani
HE956708,CP000917,85.5264,10,fastani
HE956708,MH370376,85.2871,10,fastani
HE956708,MH370380,85.1925,10,fastani
HE956708,MH370367,85.1925,10,fastani
HE956708,MF431737,85.1755,10,fastani
HE956708,MT074457,85.1463,10,fastani
HE956708,KX017521,85.124,10,fastani
HE956708,KU927497,85.0795,10,fastani
HE956708,MT074449,85.0685,10,fastani
HE956708,MN187969,85.0685,10,fastani
HE956708,MN197465,85.0368,10,fastani
HE956708,MT074466,85.0205,10,fastani
HE956708,MH370386,84.9675,10,fastani
HE956708,MN379739,84.9569,10,fastani
HE956708,MK370036,84.9357,10,fastani
HE956708,MT074459,84.9328,10,fastani
HE956708,MK050846,84.9069,10,fastani
HE956708,MT074450,84.884,10,fastani
HE956708,MK728825,84.8628,10,fastani
HE956708,MT074465,84.8554,10,fastani
HE956708,MT074458,84.8313,10,fastani
HE956708,MH631454,84.812,10,fastani
HE956708,MK005300,84.8101,10,fastani
HE956708,MK972707,84.7818,10,fastani
HE956708,MH370369,84.768,10,fastani
HE956708,MH370366,84.7406,10,fastani
HE956708,MF001363,84.7292,10,fastani
HE956708,MK393882,84.7052,10,fastani
HE956708,KM236244,84.6388,10,fastani
HE956708,MN218191,84.5862,10,fastani
HE956708,MH370379,84.5241,10,fastani
HE956708,LR027389,84.4522,10,fastani
HE956708,MK947459,84.4389,10,fastani
HE956708,MF681663,84.2386,10,fastani
HE956708,MH370375,83.8113,10,fastani
