FQ312032.1 Salmonella phage Vi01 complete sequence,"HQ259103.1 Salmonella phage SFP10, complete genome","JN126049.1 Salmonella phage PhiSH19, complete genome","JN593240.1 Escherichia phage Cba120, complete genome","JX128257.1 Escherichia phage ECML-4, complete genome","KF669653.1 Salmonella phage Marshall, complete genome","KF669654.1 Salmonella phage Maynard, complete genome","KJ174317.1 Salmonella phage vB_SalM_SJ2, complete genome","KJ174318.1 Salmonella phage vB_SalM_SJ3, complete genome","KP797973.1 Salmonella phage Det7, complete genome","KR296692.1 Salmonella phage 38, complete genome","KX245012.1 Salmonella phage GG32, complete genome","KX438380.2 Salmonella phage vB-SalM-PM10, complete genome","KX765865.1 Salmonella phage ST-W77, complete genome","KY787213.1 Salmonella phage BSP101, complete genome","MG383452.2 Escherichia phage FEC14, complete genome","MG428992.1 Salmonella phage Mutine, complete genome","MG748547.1 Escherichia phage EP75, complete genome","MH370371.1 Salmonella phage S118, complete genome","MH709120.1 Salmonella phage SenASZ3, complete genome","MH709121.1 Salmonella phage SenALZ1, complete genome","MH791405.1 UNVERIFIED: Salmonella phage SeSz-1, complete genome","MK972690.1 Salmonella phage SE14, complete genome","MK972699.1 Salmonella phage SS9, complete genome","MN871491.1 UNVERIFIED_ORG: Salmonella phage Se-B, complete genome","MN871495.1 UNVERIFIED_ORG: Salmonella phage Se-G, complete genome","MN871498.1 UNVERIFIED_ORG: Salmonella phage Se-J, complete genome","MT074469.1 Salmonella phage rabagast, complete genome","MT074470.1 Salmonella phage heyday, complete genome","MT074471.1 Salmonella phage allotria, complete genome","MT074472.1 Salmonella phage bering, complete genome","MT074474.1 Salmonella phage aagejoakim, complete genome","MT074475.1 Salmonella phage dinky, complete genome","MT074477.1 Salmonella phage barely, complete genome","MT074478.1 Salmonella phage moki, complete genome"
1.0,0.106,0.126,0.136,0.636,0.366,0.416,0.498,0.104,0.13,0.106,0.114,0.1,0.102,0.112,0.12,0.19,0.164,0.18,0.134,0.098,0.134,0.132,0.168,0.13,0.106,0.17,0.158,0.128,0.156,0.172,0.134,0.126,0.144,0.122
0.106,1.0,0.48,0.588,0.126,0.18,0.15,0.146,0.472,0.406,0.468,0.67,0.494,0.496,0.58,0.562,0.376,0.298,0.45,0.454,0.518,0.508,0.5,0.422,0.582,0.474,0.33,0.42,0.476,0.338,0.362,0.554,0.524,0.354,0.57
0.126,0.48,1.0,0.504,0.138,0.184,0.16,0.17,0.488,0.372,0.504,0.472,0.522,0.53,0.534,0.466,0.376,0.312,0.374,0.532,0.524,0.46,0.52,0.384,0.52,0.504,0.294,0.358,0.442,0.33,0.376,0.454,0.482,0.358,0.546
0.136,0.588,0.504,1.0,0.15,0.184,0.162,0.164,0.52,0.374,0.462,0.518,0.506,0.522,0.566,0.59,0.434,0.314,0.456,0.46,0.494,0.446,0.494,0.464,0.558,0.502,0.306,0.428,0.44,0.366,0.374,0.53,0.47,0.36,0.574
0.636,0.126,0.138,0.15,1.0,0.364,0.416,0.526,0.118,0.144,0.112,0.132,0.112,0.122,0.13,0.146,0.214,0.192,0.194,0.152,0.106,0.134,0.136,0.172,0.15,0.116,0.19,0.176,0.148,0.152,0.182,0.15,0.136,0.17,0.142
0.366,0.18,0.184,0.184,0.364,1.0,0.764,0.304,0.168,0.186,0.154,0.18,0.16,0.162,0.18,0.172,0.202,0.24,0.2,0.214,0.176,0.19,0.19,0.212,0.182,0.164,0.186,0.188,0.17,0.172,0.23,0.17,0.192,0.186,0.184
0.416,0.15,0.16,0.162,0.416,0.764,1.0,0.35,0.146,0.17,0.138,0.148,0.144,0.136,0.154,0.146,0.188,0.202,0.196,0.184,0.152,0.176,0.164,0.186,0.16,0.144,0.168,0.176,0.148,0.158,0.208,0.146,0.164,0.166,0.16
0.498,0.146,0.17,0.164,0.526,0.304,0.35,1.0,0.158,0.18,0.142,0.162,0.144,0.15,0.154,0.168,0.234,0.188,0.18,0.192,0.138,0.18,0.17,0.17,0.18,0.146,0.204,0.176,0.156,0.168,0.194,0.162,0.162,0.19,0.154
0.104,0.472,0.488,0.52,0.118,0.168,0.146,0.158,1.0,0.364,0.502,0.458,0.544,0.606,0.488,0.472,0.362,0.318,0.366,0.432,0.468,0.44,0.462,0.384,0.456,0.502,0.268,0.374,0.414,0.33,0.314,0.43,0.468,0.388,0.504
0.13,0.406,0.372,0.374,0.144,0.186,0.17,0.18,0.364,1.0,0.36,0.39,0.408,0.38,0.388,0.372,0.306,0.262,0.294,0.326,0.412,0.392,0.384,0.346,0.388,0.348,0.294,0.294,0.332,0.292,0.378,0.336,0.366,0.374,0.37
