GenomeA,GenomeB,ani_distance,kmer_ani,algorithm
FQ312032,MT074478,89.87,static,skani
FQ312032,MT074474,90.64,static,skani
FQ312032,MT074470,90.31,static,skani
FQ312032,MN871495,89.89,static,skani
FQ312032,MK972690,90.60,static,skani
FQ312032,MH709120,91.12,static,skani
FQ312032,MG428992,93.61,static,skani
FQ312032,KX765865,90.05,static,skani
FQ312032,KR296692,89.61,static,skani
FQ312032,KJ174317,97.34,static,skani
FQ312032,JX128257,98.51,static,skani
FQ312032,HQ259103,89.95,static,skani
FQ312032,MT074479,91.74,static,skani
FQ312032,MT074475,90.48,static,skani
FQ312032,MT074471,92.04,static,skani
FQ312032,MN871498,92.63,static,skani
FQ312032,MK972699,92.82,static,skani
FQ312032,MH709121,89.03,static,skani
FQ312032,MG748547,93.25,static,skani
FQ312032,KY787213,89.26,static,skani
FQ312032,KX245012,89.37,static,skani
FQ312032,KJ174318,89.61,static,skani
FQ312032,KF669653,96.85,static,skani
FQ312032,JN126049,90.86,static,skani
FQ312032,MT074480,90.94,static,skani
FQ312032,MT074477,92.53,static,skani
FQ312032,MT074472,92.68,static,skani
FQ312032,MT074469,92.10,static,skani
FQ312032,MN871491,90.06,static,skani
FQ312032,MH791405,91.71,static,skani
FQ312032,MH370371,93.13,static,skani
FQ312032,MG383452,89.98,static,skani
FQ312032,KX438380,90.02,static,skani
FQ312032,KP797973,90.59,static,skani
FQ312032,KF669654,97.39,static,skani
FQ312032,JN593240,90.98,static,skani
MT074478,MT074480,96.68,static,skani
MT074478,MT074479,96.09,static,skani
MT074474,MT074475,97.41,static,skani
MT074474,MT074478,97.50,static,skani
MT074474,MT074480,96.77,static,skani
MT074474,MT074477,96.23,static,skani
MT074474,MT074479,95.99,static,skani
MT074470,MT074475,98.13,static,skani
MT074470,MT074471,95.73,static,skani
MT074470,MT074480,96.25,static,skani
MT074470,MT074477,96.27,static,skani
MT074470,MT074472,96.40,static,skani
MT074470,MT074478,97.73,static,skani
MT074470,MT074474,97.44,static,skani
MT074470,MT074479,96.02,static,skani
MN871495,MT074475,97.30,static,skani
MN871495,MT074471,95.69,static,skani
MN871495,MN871498,95.23,static,skani
MN871495,MT074480,95.95,static,skani
MN871495,MT074477,96.30,static,skani
MN871495,MT074472,95.90,static,skani
MN871495,MT074469,96.10,static,skani
MN871495,MT074478,97.42,static,skani
MN871495,MT074474,96.88,static,skani
MN871495,MT074470,96.92,static,skani
MN871495,MT074479,95.19,static,skani
MK972690,MT074475,98.20,static,skani
MK972690,MT074471,95.82,static,skani
MK972690,MN871498,95.44,static,skani
MK972690,MK972699,96.75,static,skani
MK972690,MT074480,96.43,static,skani
MK972690,MT074477,96.35,static,skani
MK972690,MT074472,96.73,static,skani
MK972690,MT074469,96.20,static,skani
MK972690,MN871491,97.49,static,skani
MK972690,MT074478,97.75,static,skani
MK972690,MT074474,97.51,static,skani
MK972690,MT074470,98.20,static,skani
MK972690,MN871495,97.27,static,skani
MK972690,MT074479,96.04,static,skani
MH709120,MT074475,97.47,static,skani
MH709120,MT074471,96.01,static,skani
MH709120,MN871498,95.51,static,skani
MH709120,MK972699,96.05,static,skani
MH709120,MH709121,97.32,static,skani
MH709120,MT074478,97.57,static,skani
MH709120,MT074474,96.94,static,skani
MH709120,MT074470,96.88,static,skani
