Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/MH371120.fasta	94.45	47.82	48.78	AY129330.2 Mycobacterium phage Che8, complete genome	MH371120.1 Mycobacterium phage OlympiaSaint, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/MH051257.fasta	89.50	30.67	32.27	AY129330.2 Mycobacterium phage Che8, complete genome	MH051257.1 Mycobacterium phage OwlsT2W, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/MF668281.fasta	95.10	42.77	44.02	AY129330.2 Mycobacterium phage Che8, complete genome	MF668281.1 Mycobacterium phage RitaG, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/KX808131.fasta	90.43	47.55	47.65	AY129330.2 Mycobacterium phage Che8, complete genome	KX808131.1 Mycobacterium phage SuperGrey, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/MT897904.fasta	93.16	55.42	57.46	AY129330.2 Mycobacterium phage Che8, complete genome	MT897904.1 Mycobacterium phage Royals2015, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/KT281792.fasta	92.53	47.12	50.87	AY129330.2 Mycobacterium phage Che8, complete genome	KT281792.1 Mycobacterium phage PopTart, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/MT114164.fasta	93.93	50.18	53.15	AY129330.2 Mycobacterium phage Che8, complete genome	MT114164.1 Mycobacterium phage Veteran, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/KM347889.fasta	92.07	49.37	49.41	AY129330.2 Mycobacterium phage Che8, complete genome	KM347889.1 Mycobacterium phage BuzzLyseyear, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/MN585975.fasta	93.70	53.72	54.94	AY129330.2 Mycobacterium phage Che8, complete genome	MN585975.1 Mycobacterium phage Eish, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/AY129330.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Cheoctovirus/KC661278.fasta	93.03	39.84	42.10	AY129330.2 Mycobacterium phage Che8, complete genome	KC661278.1 Mycobacterium phage SiSi, complete genome
